Prod_year,Engine_volume,Mileage,Cylinders,Airbags,Manufacturer,Model,Category,Fuel_type,Gear_box_type,Drive_wheels,Doors,Color,Leather_interior,Wheel,Turbo
2013,2.5,190549.0,4.0,12,TOYOTA,Camry,Sedan,Hybrid,Automatic,Front,04-May,Black,Yes,Left wheel,False
2010,3.3,264877.0,6.0,12,TOYOTA,Highlander,Jeep,Hybrid,Automatic,4x4,04-May,White,Yes,Left wheel,False
2015,1.5,49272.0,4.0,0,HONDA,Civic,Sedan,Hybrid,Automatic,Front,04-May,Blue,Yes,Left wheel,False
2014,1.4,46400.0,4.0,8,FIAT,500,Hatchback,Petrol,Tiptronic,Front,02-Mar,Green,Yes,Left wheel,False
2014,1.5,41500.0,4.0,4,TOYOTA,Aqua,Hatchback,Hybrid,Automatic,Front,04-May,Blue,Yes,Left wheel,False
2016,2.4,25541.0,4.0,8,HYUNDAI,Sonata sport,Sedan,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2016,2.0,145910.0,4.0,12,FORD,Fusion,Sedan,Petrol,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2013,2.0,161000.0,4.0,12,FORD,C-MAX,Hatchback,Hybrid,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2016,1.7,90924.0,4.0,4,HYUNDAI,Tucson,Jeep,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
2010,1.3,189571.0,4.0,0,HONDA,Insight,Hatchback,Hybrid,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2015,3.6,132502.0,6.0,12,CHRYSLER,200,Sedan,Petrol,Automatic,Rear,04-May,Black,Yes,Left wheel,False
2014,2.0,401021.0,4.0,4,HYUNDAI,Sonata,Sedan,LPG,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2008,3.0,175614.0,6.0,12,MERCEDES-BENZ,E 350,Sedan,Diesel,Automatic,Rear,04-May,Black,Yes,Left wheel,False
2016,2.0,35000.0,4.0,4,HYUNDAI,Santa FE,Jeep,Diesel,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2015,1.6,31891.0,4.0,4,HYUNDAI,Elantra,Sedan,LPG,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2008,1.5,173000.0,4.0,8,TOYOTA,Prius,Sedan,Hybrid,Variator,Front,04-May,Blue,No,Left wheel,False
2017,2.0,98847.0,4.0,4,HYUNDAI,Tucson,Jeep,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
1995,2.5,0.0,4.0,0,FORD,Transit,Microbus,Diesel,Manual,Rear,04-May,White,No,Left wheel,True
2011,4.0,215003.0,6.0,12,NISSAN,Pathfinder,Jeep,Petrol,Automatic,Rear,04-May,Grey,Yes,Left wheel,False
2016,3.6,77158.0,4.0,4,CHEVROLET,Impala,Sedan,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2010,2.5,147790.0,4.0,12,FORD,Fusion,Sedan,Petrol,Automatic,Front,04-May,Blue,Yes,Left wheel,False
2014,5.5,101424.0,8.0,12,MERCEDES-BENZ,E 350,Sedan,Diesel,Automatic,4x4,04-May,Grey,Yes,Left wheel,False
2017,2.0,150563.0,4.0,4,HYUNDAI,Tucson,Jeep,Diesel,Automatic,Front,04-May,Black,Yes,Left wheel,False
2013,3.2,169138.0,6.0,12,VOLVO,XC90,Jeep,Petrol,Automatic,4x4,04-May,White,Yes,Left wheel,False
2006,1.5,135000.0,4.0,8,TOYOTA,Prius,Hatchback,Hybrid,Variator,Front,04-May,Silver,No,Left wheel,False
2014,2.5,81000.0,4.0,7,SUBARU,Forester,Jeep,Petrol,Variator,4x4,04-May,Black,No,Left wheel,False
2005,4.2,252000.0,6.0,8,LAND ROVER,Discovery LR3,Jeep,Petrol,Tiptronic,4x4,04-May,Black,Yes,Left wheel,False
2015,4.6,188078.0,8.0,0,LEXUS,GX 460,Jeep,Petrol,Automatic,4x4,04-May,Black,Yes,Left wheel,False
1997,1.8,160000.0,4.0,0,VOLKSWAGEN,Passat,Goods wagon,Petrol,Manual,Front,04-May,Blue,No,Left wheel,True
2016,2.0,26096.0,4.0,12,MERCEDES-BENZ,C 300,Sedan,Petrol,Automatic,Rear,04-May,White,Yes,Left wheel,False
2013,2.0,62707.0,4.0,4,CHEVROLET,Captiva,Jeep,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
2011,3.0,78000.0,6.0,10,BMW,328,Sedan,Petrol,Tiptronic,Front,04-May,White,Yes,Left wheel,False
1998,1.8,256837.0,4.0,5,BMW,318,Sedan,Petrol,Automatic,Rear,04-May,Green,Yes,Right-hand drive,False
2005,1.6,155000.0,4.0,4,OPEL,Zafira,Minivan,Petrol,Manual,Front,04-May,Silver,No,Left wheel,False
2016,4.0,8690.0,6.0,12,PORSCHE,911,Coupe,Petrol,Automatic,Rear,02-Mar,Black,Yes,Left wheel,False
2013,2.0,162000.0,4.0,6,SUZUKI,Every Landy NISSAN SEREN,Minivan,Petrol,Variator,Front,04-May,Silver,No,Right-hand drive,False
2019,2.5,25816.0,4.0,12,TOYOTA,Camry,Sedan,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2002,1.6,216000.0,4.0,10,OPEL,Zafira,Universal,Petrol,Manual,Front,04-May,Grey,No,Left wheel,False
2010,2.2,161642.0,4.0,4,HYUNDAI,Santa FE,Jeep,Diesel,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2015,1.5,56000.0,4.0,8,RENAULT,Captur QM3 Samsung,Jeep,Diesel,Tiptronic,Front,04-May,Black,No,Left wheel,True
2011,3.5,186542.0,6.0,12,MERCEDES-BENZ,ML 350,Jeep,Diesel,Automatic,4x4,04-May,White,Yes,Left wheel,False
2010,2.0,83424.0,4.0,4,SSANGYONG,Actyon,Jeep,Diesel,Automatic,Front,04-May,Red,Yes,Left wheel,False
2010,1.5,176000.0,4.0,4,RENAULT,Megane,Universal,Diesel,Manual,Front,04-May,Silver,No,Left wheel,True
2016,2.0,71218.0,4.0,0,HYUNDAI,Sonata,Sedan,Hybrid,Automatic,Front,04-May,Black,Yes,Left wheel,False
2014,2.4,0.0,4.0,0,TOYOTA,Camry,Sedan,Petrol,Automatic,Front,04-May,Black,No,Left wheel,False
2013,2.0,79730.0,4.0,4,HYUNDAI,Santa FE,Jeep,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
2012,2.0,152587.0,4.0,4,CHEVROLET,Orlando,Jeep,Diesel,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2011,3.0,120000.0,6.0,12,BMW,328 Xdrive,Sedan,Petrol,Tiptronic,4x4,04-May,Black,Yes,Left wheel,False
2014,2.0,168637.0,4.0,4,HYUNDAI,Santa FE,Jeep,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
2011,1.8,103000.0,4.0,0,TOYOTA,Prius,Hatchback,Hybrid,Automatic,Front,04-May,Golden,No,Left wheel,False
2014,1.5,96000.0,4.0,10,TOYOTA,Prius C,Hatchback,Hybrid,Automatic,Front,>5,Silver,No,Left wheel,False
2010,1.8,221627.0,4.0,12,TOYOTA,Corolla,Sedan,Petrol,Automatic,Front,04-May,Red,Yes,Left wheel,False
2004,4.7,204000.0,8.0,4,TOYOTA,4Runner,Jeep,LPG,Automatic,4x4,04-May,Black,No,Left wheel,False
2016,2.0,215572.0,4.0,4,HYUNDAI,Sonata,Sedan,LPG,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2008,2.5,150000.0,5.0,0,VOLKSWAGEN,T5,Minivan,Diesel,Manual,4x4,04-May,Silver,No,Left wheel,False
2008,3.5,142000.0,6.0,12,MERCEDES-BENZ,E 350,Sedan,Petrol,Tiptronic,4x4,04-May,White,Yes,Left wheel,False
2011,2.2,75054.0,4.0,4,HYUNDAI,Santa FE,Jeep,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
2015,1.3,50927.0,4.0,4,HONDA,FIT,Universal,Petrol,Automatic,Front,04-May,Blue,Yes,Left wheel,False
2014,2.4,0.0,4.0,12,KIA,Optima,Sedan,Hybrid,Automatic,Front,04-May,White,Yes,Left wheel,False
2014,1.2,61000.0,3.0,2,NISSAN,Note,Hatchback,Petrol,Variator,Front,04-May,Silver,No,Right-hand drive,True
2012,2.5,0.0,4.0,6,TOYOTA,Camry,Sedan,Petrol,Tiptronic,Front,04-May,Black,Yes,Left wheel,False
2014,1.4,88886.0,4.0,0,CHEVROLET,Cruze,Sedan,Petrol,Automatic,Front,04-May,Black,No,Left wheel,False
2015,2.0,498170.0,4.0,4,HYUNDAI,Sonata,Sedan,LPG,Automatic,Front,04-May,Orange,Yes,Left wheel,False
2000,2.5,200000.0,6.0,4,BMW,325,Hatchback,Petrol,Manual,Rear,02-Mar,Blue,Yes,Left wheel,False
1997,2.0,1972.0,1.0,0,HONDA,Cr-v,Jeep,Petrol,Automatic,4x4,04-May,Golden,No,Left wheel,False
2018,1.4,41822.0,4.0,12,CHEVROLET,Cruze,Sedan,Petrol,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2017,2.4,62400.0,4.0,12,HYUNDAI,Santa FE,Jeep,Petrol,Tiptronic,4x4,04-May,Silver,No,Left wheel,False
2004,3.0,168000.0,6.0,6,CHRYSLER,300,Coupe,Petrol,Automatic,Front,02-Mar,Red,Yes,Left wheel,False
2002,4.4,287000.0,8.0,0,BMW,745,Sedan,Petrol,Tiptronic,Rear,04-May,Black,Yes,Left wheel,False
2011,3.5,259066.0,6.0,12,LEXUS,IS 350,Sedan,Petrol,Automatic,4x4,04-May,Silver,Yes,Left wheel,False
2011,2.5,216550.0,4.0,12,MAZDA,CX-7,Sedan,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
1996,2.5,270000.0,4.0,2,FORD,Transit,Microbus,Diesel,Manual,Rear,04-May,Sky blue,No,Left wheel,False
1997,2.8,159000.0,4.0,2,MITSUBISHI,Pajero,Jeep,Diesel,Automatic,4x4,04-May,Blue,Yes,Left wheel,True
2006,1.5,127000.0,4.0,4,NISSAN,Tiida Latio,Sedan,Petrol,Automatic,Front,04-May,Silver,Yes,Right-hand drive,False
2012,4.4,145000.0,8.0,12,BMW,550,Sedan,Petrol,Tiptronic,Rear,04-May,White,Yes,Left wheel,True
2011,2.0,190000.0,4.0,4,HYUNDAI,Sonata,Sedan,Petrol,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2009,1.5,288000.0,4.0,4,TOYOTA,Prius,Sedan,Hybrid,Automatic,Front,04-May,Black,No,Left wheel,False
2012,3.0,198211.0,6.0,12,BMW,X5,Jeep,Diesel,Tiptronic,4x4,04-May,Grey,Yes,Left wheel,True
2008,0.4,209843.0,4.0,0,FORD,Escape,Sedan,Hybrid,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2013,2.0,160000.0,4.0,12,FORD,Fusion,Sedan,Plug-in Hybrid,Variator,Front,04-May,Carnelian red,Yes,Left wheel,False
2015,1.8,71777.0,4.0,10,VOLKSWAGEN,Jetta,Sedan,Petrol,Tiptronic,Front,04-May,Grey,Yes,Left wheel,True
2014,3.5,104000.0,6.0,12,BMW,X5,Jeep,Diesel,Automatic,4x4,04-May,White,Yes,Left wheel,True
2011,2.2,176000.0,4.0,2,MERCEDES-BENZ,Vito,Minivan,Diesel,Manual,Rear,04-May,Blue,Yes,Left wheel,True
2015,2.5,163000.0,6.0,0,TOYOTA,Camry,Sedan,Hybrid,Automatic,Front,04-May,White,Yes,Left wheel,False
2015,2.0,66000.0,4.0,12,MERCEDES-BENZ,C 300,Sedan,Petrol,Tiptronic,4x4,04-May,Black,Yes,Left wheel,True
2017,2.0,28899.0,4.0,4,HONDA,Civic,Sedan,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2010,1.8,97000.0,4.0,8,TOYOTA,Prius,Sedan,Hybrid,Automatic,Front,04-May,Black,Yes,Left wheel,False
2005,2.3,172000.0,6.0,6,NISSAN,Teana,Sedan,Petrol,Automatic,Front,04-May,Black,No,Left wheel,False
1995,2.5,207888.0,4.0,0,FORD,Transit,Goods wagon,Diesel,Manual,Rear,04-May,White,No,Left wheel,True
2007,5.5,171000.0,8.0,12,MERCEDES-BENZ,CL550 AMG,Coupe,Petrol,Automatic,Rear,02-Mar,Black,Yes,Left wheel,False
2014,1.8,60000.0,4.0,6,LEXUS,CT 200h,Universal,Hybrid,Automatic,Front,04-May,White,Yes,Right-hand drive,False
2011,1.6,51859.0,4.0,4,HYUNDAI,I30,Hatchback,Diesel,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2016,2.5,60000.0,5.0,12,TOYOTA,Camry,Sedan,Hybrid,Automatic,Front,04-May,White,Yes,Left wheel,False
2013,2.5,98000.0,4.0,6,SUBARU,Forester,Jeep,Petrol,Manual,4x4,04-May,Grey,No,Left wheel,False
2014,1.6,56000.0,4.0,10,FORD,Fiesta,Hatchback,Petrol,Automatic,Front,04-May,Beige,No,Left wheel,False
2010,2.5,60517.0,4.0,4,HYUNDAI,H1,Minivan,Diesel,Automatic,Front,04-May,Yellow,Yes,Left wheel,False
2010,3.5,296466.0,6.0,12,LEXUS,RX 350,Jeep,Petrol,Automatic,4x4,04-May,Silver,Yes,Left wheel,False
2013,1.5,93700.0,4.0,6,HONDA,Civic,Sedan,Hybrid,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2011,3.0,112000.0,6.0,12,BMW,530,Sedan,Petrol,Tiptronic,Rear,04-May,Black,Yes,Left wheel,False
2001,1.8,240000.0,4.0,4,ALFA ROMEO,147,Coupe,Petrol,Manual,Front,02-Mar,Black,Yes,Left wheel,False
2010,2.0,83000.0,4.0,6,DODGE,Caliber,Hatchback,Petrol,Automatic,Front,>5,Golden,No,Left wheel,False
2010,1.8,18000.0,4.0,0,TOYOTA,Prius,Sedan,Hybrid,Automatic,Front,04-May,White,No,Left wheel,False
2015,1.5,143876.0,4.0,4,TOYOTA,Aqua,Hatchback,Hybrid,Automatic,Front,04-May,White,Yes,Left wheel,False
2014,3.0,141384.0,6.0,0,BMW,X5,Jeep,Diesel,Automatic,4x4,04-May,Blue,Yes,Left wheel,False
2013,1.5,22878.0,4.0,4,TOYOTA,Aqua,Hatchback,Petrol,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2012,1.6,116891.0,4.0,4,HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2014,2.5,79094.0,4.0,12,MAZDA,1300,Jeep,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2013,2.4,96165.0,4.0,8,HYUNDAI,Sonata,Sedan,Hybrid,Automatic,Front,04-May,Blue,Yes,Left wheel,False
2010,1.6,129055.0,4.0,4,HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2017,1.7,39747.0,4.0,4,HYUNDAI,Tucson,Jeep,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
2003,1.3,178000.0,4.0,5,MITSUBISHI,Colt,Hatchback,Petrol,Automatic,Front,04-May,Sky blue,No,Right-hand drive,False
2016,2.0,22601.0,4.0,4,HONDA,Civic,Sedan,Petrol,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2010,2.4,121000.0,4.0,4,JEEP,Compass,Jeep,Petrol,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2015,2.0,102118.0,4.0,4,SSANGYONG,REXTON,Jeep,Diesel,Automatic,Front,04-May,Blue,Yes,Left wheel,False
2002,2.2,250115.0,4.0,8,MERCEDES-BENZ,E 220,Sedan,Diesel,Manual,Rear,04-May,Silver,No,Left wheel,False
2009,3.5,266061.0,6.0,12,MERCEDES-BENZ,E 350,Sedan,Diesel,Automatic,4x4,04-May,Black,Yes,Left wheel,False
1998,1.8,200000.0,4.0,12,OPEL,Astra,Hatchback,Petrol,Manual,4x4,04-May,Black,No,Left wheel,False
2013,1.8,109179.0,4.0,12,HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,Blue,Yes,Left wheel,False
2003,2.5,76000.0,6.0,6,BMW,325,Sedan,Petrol,Automatic,Rear,04-May,Silver,No,Left wheel,False
2014,2.5,0.0,4.0,12,TOYOTA,Camry,Sedan,Hybrid,Automatic,Front,04-May,Black,Yes,Left wheel,False
2013,1.5,78300.0,4.0,4,TOYOTA,Aqua,Sedan,Hybrid,Automatic,Front,04-May,White,Yes,Right-hand drive,False
2020,2.0,1792.0,4.0,12,LEXUS,NX 300,Jeep,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2012,2.4,150000.0,8.0,12,HYUNDAI,Sonata,Sedan,Hybrid,Automatic,Front,04-May,Black,No,Left wheel,False
2009,1.6,45256.0,4.0,4,CHEVROLET,Cruze,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2004,3.2,178000.0,6.0,0,MERCEDES-BENZ,CLK 320,Coupe,Petrol,Tiptronic,Rear,02-Mar,Blue,Yes,Left wheel,False
2010,1.8,203000.0,4.0,8,SCION,xD,Hatchback,Petrol,Automatic,Front,04-May,White,No,Left wheel,False
2019,1.3,1878.0,4.0,4,CHEVROLET,Malibu,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2013,1.6,220861.0,4.0,12,NISSAN,Juke,Jeep,Petrol,Tiptronic,4x4,04-May,Black,No,Left wheel,False
2012,1.5,265900.0,4.0,2,TOYOTA,Aqua,Hatchback,Hybrid,Variator,Front,04-May,White,No,Right-hand drive,False
2012,3.0,160291.0,4.0,4,JEEP,Grand Cherokee,Jeep,Diesel,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2018,1.4,33548.0,4.0,8,CHEVROLET,Cruze LT,Sedan,Petrol,Automatic,Front,04-May,Silver,No,Left wheel,True
2014,1.0,73936.0,4.0,4,CHEVROLET,Spark,Hatchback,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2010,1.8,196121.0,4.0,8,TOYOTA,Prius,Hatchback,Hybrid,Automatic,Front,04-May,White,No,Left wheel,False
1996,1.1,220000.0,6.0,0,NISSAN,Micra,Sedan,CNG,Manual,Rear,04-May,Green,No,Left wheel,False
2012,3.5,232357.0,6.0,12,LEXUS,RX 450,Jeep,Hybrid,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2015,3.5,127923.0,4.0,4,FORD,Explorer,Jeep,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2010,1.8,164000.0,4.0,10,TOYOTA,Prius,Hatchback,Petrol,Automatic,Front,04-May,Red,Yes,Left wheel,False
2011,2.5,76519.0,4.0,4,HYUNDAI,H1,Minivan,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
2017,1.7,97880.0,4.0,4,HYUNDAI,Tucson,Jeep,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
2013,2.4,130000.0,4.0,6,HYUNDAI,Sonata,Sedan,Petrol,Tiptronic,Front,04-May,Grey,Yes,Left wheel,False
2013,4.7,106000.0,8.0,12,MERCEDES-BENZ,S 550,Sedan,Petrol,Automatic,4x4,04-May,Black,Yes,Left wheel,True
2004,2.0,156000.0,4.0,8,NISSAN,X-Trail,Jeep,Petrol,Automatic,4x4,04-May,Black,No,Right-hand drive,False
2017,2.0,34000.0,4.0,12,HYUNDAI,Elantra,Sedan,Petrol,Tiptronic,Front,04-May,Black,No,Left wheel,False
2010,3.5,315270.0,6.0,12,LEXUS,RX 450,Jeep,Hybrid,Automatic,4x4,04-May,Grey,Yes,Left wheel,False
2018,3.6,71194.0,6.0,12,CHEVROLET,Impala,Sedan,Petrol,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2014,3.0,137000.0,6.0,12,TOYOTA,Land Cruiser Prado,Jeep,Diesel,Tiptronic,4x4,>5,Black,Yes,Left wheel,True
2011,3.5,248525.0,6.0,12,MERCEDES-BENZ,E 350,Sedan,Petrol,Automatic,4x4,04-May,Grey,Yes,Left wheel,False
2015,1.5,87573.0,4.0,4,HONDA,FIT,Hatchback,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2012,3.0,171221.0,6.0,12,MERCEDES-BENZ,E 350,Sedan,Diesel,Automatic,Rear,04-May,Black,Yes,Left wheel,False
2006,1.5,174000.0,4.0,6,TOYOTA,Prius,Hatchback,Hybrid,Variator,Front,04-May,Red,No,Left wheel,False
2014,2.0,78000.0,4.0,12,FORD,Focus,Sedan,Petrol,Manual,Front,04-May,Silver,No,Left wheel,False
2004,1.3,150000.0,4.0,4,HONDA,FIT,Hatchback,Petrol,Automatic,Front,04-May,Silver,No,Right-hand drive,False
2014,2.5,140000.0,4.0,12,SUBARU,Forester,Jeep,Petrol,Automatic,4x4,04-May,Black,No,Left wheel,False
2017,2.0,20000.0,4.0,12,HYUNDAI,Elantra,Sedan,Petrol,Tiptronic,Front,04-May,Black,No,Left wheel,False
1994,2.0,280000.0,4.0,12,MAZDA,626,Sedan,Petrol,Manual,Front,04-May,White,No,Left wheel,False
2010,4.6,155821.0,8.0,0,LEXUS,GX 460,Jeep,Petrol,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2014,1.6,90000.0,4.0,4,HYUNDAI,Elantra,Sedan,Diesel,Automatic,Front,04-May,Black,Yes,Left wheel,False
2017,1.4,65600.0,4.0,14,CHEVROLET,Cruze,Sedan,Petrol,Tiptronic,Front,04-May,Black,No,Left wheel,True
2012,2.5,110000.0,4.0,10,SUBARU,Outback,Jeep,Petrol,Automatic,4x4,04-May,Black,Yes,Right-hand drive,False
2016,3.0,74674.0,6.0,12,BMW,X6,Jeep,Petrol,Automatic,4x4,04-May,White,Yes,Left wheel,False
2011,3.5,181189.0,6.0,12,LEXUS,RX 350,Jeep,Petrol,Automatic,4x4,04-May,White,Yes,Left wheel,False
2010,3.5,321037.0,6.0,12,CHEVROLET,Impala,Sedan,Petrol,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2015,3.5,56571.0,4.0,4,FORD,Explorer,Jeep,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2015,3.5,79080.0,6.0,12,MERCEDES-BENZ,ML 350,Jeep,Diesel,Automatic,4x4,04-May,Grey,Yes,Left wheel,False
2011,2.0,53323.0,4.0,4,SSANGYONG,REXTON,Jeep,Diesel,Automatic,Front,04-May,Black,Yes,Left wheel,False
2015,2.0,669145.0,4.0,4,HYUNDAI,Sonata,Sedan,LPG,Automatic,Front,04-May,White,Yes,Left wheel,False
2011,1.6,167776.0,4.0,4,CHEVROLET,Cruze,Sedan,Petrol,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2012,2.0,132976.0,4.0,4,HYUNDAI,Tucson,Jeep,Diesel,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2006,1.6,180000.0,4.0,0,SUZUKI,SX4,Hatchback,Petrol,Automatic,Front,04-May,Silver,No,Left wheel,False
2009,1.5,142426.0,4.0,12,TOYOTA,Prius,Sedan,Hybrid,Automatic,Front,04-May,White,Yes,Left wheel,False
2010,2.0,55751.0,4.0,4,HYUNDAI,Santa FE,Jeep,Diesel,Automatic,Front,04-May,Black,Yes,Left wheel,False
2012,1.8,23000.0,4.0,4,FORD,Transit Connect,Goods wagon,Diesel,Manual,Front,02-Mar,White,No,Left wheel,True
2002,2.0,0.0,4.0,4,BMW,320,Hatchback,Petrol,Manual,Rear,02-Mar,Grey,No,Left wheel,False
2011,1.3,288704.0,4.0,0,HONDA,Insight,Hatchback,Hybrid,Automatic,Front,04-May,White,Yes,Left wheel,False
2010,1.3,101000.0,4.0,6,HONDA,FIT,Sedan,Petrol,Variator,Front,04-May,Red,No,Right-hand drive,False
2010,2.4,116000.0,4.0,4,JEEP,Compass,Jeep,Petrol,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2003,2.7,259200.0,6.0,4,SUZUKI,Grand Vitara,Jeep,CNG,Automatic,4x4,04-May,Silver,No,Left wheel,True
2011,1.4,93000.0,4.0,10,CHEVROLET,Cruze,Sedan,Petrol,Tiptronic,Front,04-May,Grey,Yes,Left wheel,True
2011,3.6,121991.0,4.0,4,JEEP,Grand Cherokee,Jeep,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2016,1.6,23739.0,4.0,4,SSANGYONG,Actyon,Jeep,Petrol,Automatic,Front,04-May,Blue,Yes,Left wheel,False
2008,1.5,216000.0,4.0,4,TOYOTA,Prius,Sedan,Hybrid,Automatic,Front,04-May,Silver,No,Left wheel,False
2008,2.4,100000.0,4.0,0,SATURN,Vue,Jeep,Hybrid,Automatic,Front,04-May,Blue,No,Left wheel,False
2014,1.6,147957.0,4.0,4,HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2013,1.8,67000.0,4.0,12,LEXUS,CT 200h,Hatchback,Hybrid,Automatic,Front,04-May,Beige,Yes,Left wheel,False
2013,1.5,170000.0,4.0,4,TOYOTA,Aqua,Hatchback,Hybrid,Variator,Front,04-May,Silver,No,Right-hand drive,False
2009,2.5,196682.0,4.0,0,FORD,Escape,Jeep,Hybrid,Automatic,Front,04-May,Black,Yes,Left wheel,False
2016,2.0,381135.0,4.0,4,HYUNDAI,Sonata,Sedan,LPG,Automatic,Front,04-May,Orange,Yes,Left wheel,False
2014,3.6,272280.0,6.0,12,DODGE,Ramcharger,Sedan,Petrol,Automatic,Rear,04-May,Silver,Yes,Left wheel,False
1998,2.0,132085.0,4.0,4,VOLKSWAGEN,Golf,Hatchback,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2011,2.0,67630.0,4.0,4,HYUNDAI,Tucson,Jeep,Diesel,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2013,2.5,192000.0,4.0,12,FORD,Escape,Jeep,Petrol,Automatic,Front,04-May,Grey,No,Left wheel,False
2015,3.0,196614.0,6.0,0,BMW,X5,Jeep,Diesel,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2012,3.0,274098.0,6.0,0,BMW,X5,Jeep,Diesel,Automatic,4x4,04-May,White,Yes,Left wheel,False
2016,2.0,28123.0,4.0,4,KIA,Optima,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
1998,1.8,250000.0,4.0,2,MITSUBISHI,Pajero IO,Jeep,Petrol,Automatic,4x4,04-May,Silver,No,Right-hand drive,False
2016,3.5,118133.0,6.0,12,LEXUS,RX 350,Jeep,Petrol,Automatic,4x4,04-May,White,Yes,Left wheel,False
2010,2.0,127347.0,4.0,4,HYUNDAI,Sonata,Sedan,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2010,3.5,382746.0,6.0,12,LEXUS,RX 450,Jeep,Hybrid,Automatic,4x4,04-May,Silver,Yes,Left wheel,False
2011,3.5,119379.0,6.0,12,MERCEDES-BENZ,E 350,Sedan,Diesel,Automatic,4x4,04-May,Silver,Yes,Left wheel,False
2003,2.5,260000.0,6.0,8,BMW,520,Sedan,CNG,Tiptronic,Rear,04-May,Silver,Yes,Left wheel,False
2002,3.2,384000.0,6.0,12,MERCEDES-BENZ,ML 320,Jeep,CNG,Tiptronic,4x4,04-May,Black,Yes,Left wheel,False
2016,2.0,76218.0,4.0,12,MERCEDES-BENZ,C 300,Sedan,Petrol,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2000,3.2,210000.0,6.0,10,MERCEDES-BENZ,S 320,Sedan,CNG,Tiptronic,Rear,04-May,White,Yes,Left wheel,False
2007,1.9,222222.0,4.0,8,OPEL,Astra,Universal,Diesel,Manual,Front,04-May,Silver,No,Left wheel,False
2010,2.0,10000.0,4.0,12,VOLKSWAGEN,GTI,Hatchback,Petrol,Manual,Front,04-May,Sky blue,No,Left wheel,True
2016,1.6,39770.0,4.0,4,HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,Silver,Yes,Left wheel,False
